frame_no	class_no	xmin	ymin	xmax	ymax
9	0	2055	1133	2145	1221
9	0	1945	1099	2032	1187
9	1	1861	1129	1966	1225
9	1	1620	1092	1722	1187
9	1	1533	1061	1635	1153
9	2	1606	1037	1685	1136
9	2	1856	1034	1935	1126
9	2	2145	1061	2239	1143
9	3	2402	1102	2486	1174
9	3	2607	1126	2698	1231
9	3	2740	1191	2824	1269
9	4	2819	1208	2914	1320
9	4	2720	1255	2832	1367
9	4	2478	1293	2620	1422
10	0	1940	1095	2029	1184
10	0	2108	1109	2194	1201
10	0	2048	1140	2134	1221
10	1	1819	1119	1919	1208
10	1	1601	1092	1688	1180
10	1	1494	1058	1583	1143
10	2	1604	1051	1683	1116
10	2	1877	1037	1969	1123
10	2	2192	1065	2268	1143
10	3	2449	1102	2533	1180
10	3	2659	1140	2743	1225
10	3	2801	1180	2893	1276
10	4	2877	1225	2985	1340
10	4	2722	1265	2853	1395
10	4	2360	1313	2502	1446
11	0	2129	1112	2202	1211
11	0	2040	1136	2132	1235
11	0	1977	1099	2061	1187
11	1	1788	1133	1885	1221
11	1	1546	1089	1662	1180
11	1	1470	1044	1572	1136
11	2	1614	1044	1701	1109
11	2	1924	1037	2008	1112
11	2	2239	1071	2315	1140
11	3	2536	1106	2612	1184
11	3	2738	1146	2822	1245
11	3	2874	1201	2977	1289
11	4	2966	1252	3082	1374
11	4	2772	1296	2908	1429
11	4	2213	1330	2342	1466
12	0	2000	1099	2087	1180
12	0	2171	1133	2244	1221
12	0	2006	1143	2110	1225
12	1	1719	1133	1827	1211
12	1	1438	1034	1538	1109
12	1	1491	1071	1580	1170
12	2	1659	1027	1740	1099
12	2	2024	1037	2116	1126
12	2	2370	1075	2468	1153
12	3	2672	1109	2751	1201
12	3	2906	1177	3006	1272
12	3	3058	1218	3150	1327
12	4	3129	1293	3266	1432
12	4	2772	1367	2922	1503
12	4	1738	1320	1895	1473
13	0	2176	1136	2268	1228
13	0	2055	1109	2137	1194
13	0	2019	1153	2118	1238
13	1	1656	1119	1759	1201
13	1	1404	1027	1499	1109
13	1	1438	1075	1530	1157
13	2	1701	1027	1782	1102
13	2	2097	1054	2179	1133
13	2	2431	1078	2525	1160
13	3	2762	1136	2843	1214
13	3	3008	1194	3100	1286
13	3	3158	1255	3276	1350
13	4	3121	1323	3244	1459
13	4	2591	1364	2735	1503
13	4	1410	1303	1564	1456
14	0	2090	1102	2176	1197
14	0	2160	1133	2244	1235
14	0	1982	1146	2068	1238
14	1	1593	1112	1693	1208
14	1	1428	1014	1528	1112
14	1	1396	1065	1504	1150
14	2	1738	1024	1827	1092
14	2	2160	1044	2250	1123
14	2	2507	1085	2601	1163
14	3	2840	1140	2919	1225
14	3	3061	1201	3160	1296
14	3	3226	1262	3318	1374
14	4	3056	1344	3179	1486
14	4	2365	1357	2530	1510
14	4	1089	1262	1270	1425
15	0	2171	1146	2263	1231
15	0	2124	1119	2221	1211
15	0	1932	1157	2024	1231
15	1	1538	1109	1635	1191
15	1	1349	1048	1460	1136
15	1	1449	1024	1562	1106
15	2	1790	1020	1872	1102
15	2	2221	1054	2300	1129
15	2	2572	1092	2662	1180
15	3	2885	1153	2982	1231
15	3	3171	1208	3281	1323
15	3	3279	1282	3392	1398
15	4	3061	1374	3202	1510
15	4	2084	1340	2244	1503
15	4	861	1242	1040	1401
16	0	2163	1116	2250	1218
16	0	2152	1160	2252	1235
16	0	1919	1153	2013	1231
16	1	1486	1109	1580	1191
16	1	1341	1044	1449	1119
16	1	1491	1014	1572	1095
16	2	1832	1024	1919	1092
16	2	2281	1065	2349	1129
16	2	2643	1106	2727	1174
16	3	2956	1163	3042	1231
16	3	3224	1231	3342	1337
16	3	3289	1306	3405	1398
16	4	3040	1378	3171	1538
16	4	1893	1330	2037	1500
16	4	643	1211	806	1381
17	0	2171	1116	2252	1208
17	0	2168	1163	2255	1242
17	0	1877	1140	1969	1238
17	1	1441	1078	1546	1187
17	1	1328	1034	1433	1129
17	1	1499	1020	1609	1095
17	2	1880	1020	1948	1099
17	2	2313	1061	2378	1129
17	2	2685	1106	2767	1184
17	3	3014	1177	3090	1248
17	3	3268	1242	3373	1340
17	3	3300	1316	3426	1432
17	4	2964	1395	3118	1544
17	4	1717	1320	1882	1490
17	4	446	1201	627	1357
18	0	2179	1119	2265	1204
18	0	2163	1160	2260	1238
18	0	1830	1143	1927	1238
18	1	1402	1078	1488	1174
18	1	1326	1020	1428	1119
18	1	1530	1003	1617	1092
18	2	1903	1027	1984	1095
18	2	2331	1061	2410	1129
18	2	2722	1112	2814	1194
18	3	3048	1170	3142	1252
18	3	3321	1259	3431	1361
18	3	3297	1330	3418	1439
18	4	2888	1405	3037	1555
18	4	1583	1316	1751	1483
18	4	320	1177	499	1327
19	0	2210	1119	2289	1208
19	0	2163	1163	2255	1248
19	0	1827	1140	1914	1238
19	1	1373	1078	1454	1177
19	1	1328	1031	1418	1119
19	1	1546	1003	1622	1082
19	2	1937	1024	2016	1092
19	2	2373	1061	2460	1133
19	2	2793	1119	2877	1197
19	3	3113	1191	3213	1276
19	3	3370	1269	3483	1371
19	3	3292	1330	3420	1452
19	4	2819	1398	2969	1565
19	4	1425	1316	1612	1490
19	4	202	1160	388	1310
20	0	2223	1123	2323	1211
20	0	2155	1157	2239	1252
20	0	1761	1140	1861	1231
20	1	1326	1078	1420	1167
20	1	1312	1017	1410	1123
20	1	1593	1014	1675	1071
20	2	1966	1024	2048	1089
20	2	2431	1061	2510	1136
20	2	2832	1136	2927	1208
20	3	3176	1201	3276	1286
20	3	3397	1279	3515	1381
20	3	3271	1364	3392	1473
20	4	2691	1408	2846	1565
20	4	1250	1296	1412	1459
20	4	116	1129	284	1272
